Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag
"[P6,6,6,14]+",[(iC8)2PO2]-,zero,stainless steel,0.923076923,5.174799948,12.446,483.87,28,6.0,1,0.0,289.42,319.1282666,4.246635376,0,0.07,0.01,40.13,0.89,0.0,4.337445108,4.7694,72.0,0,298,100.0,0,281.6910727,4.359263597,0.4,4.0,483.87,4_483.87,7.0,0.4598986833637346,0.0598986833637346,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,369,100.0,0,26.26466251,2.803039488,0.127,3.0,46.093,3_46.093,9.0,0.1385418994353827,0.0115418994353827,
[BMIm]+,[BF4]-,zero,HOPG,6.7,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,100.0,1,19.11941548,3.023715784,0.0017,0.0,139.222,0_139.222,10.0,0.0017000000225354,2.2535452887453844e-11,
[BMIm]+,[TFSI]-,PIL,Au(111),3.043478261,3.310978931,1.1127,139.222,3,6.0,0,0.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,95.0,1,384.7328028,5.284512596,0.634,5.0,139.222,5_139.222,11.0,0.4857613109491319,0.148238689050868,
[HMIM]+,[FAP]-,zero,HOPG,0.406,3.540263249,1.8929,167.276,5,6.0,0,-1.0,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.0206,1.0,167.276,1_167.276,12.0,-0.1355417351159386,0.1561417351159386,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.069,2.0,46.093,2_46.093,13.0,0.312241027974667,0.243241027974667,
[BMIm]+,[BF4]-,zero,mica,2.1,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,1.3,0.0,0,298,100.0,1,19.11941548,3.023715784,0.083,2.0,139.222,2_139.222,14.0,0.0799999982118606,0.0030000017881393,
"[P6,6,6,14]+",[(iC8)2PO2]-,zero,HOPG,3.2,5.174799948,12.446,483.87,28,6.0,0,1.0,289.42,319.1282666,4.246635376,0,0.05,-0.0002,40.13,0.89,0.0,4.337445108,4.7694,85.0,0,298,100.0,0,281.6910727,4.359263597,0.013,1.0,483.87,1_483.87,15.0,-0.0067213351653776,0.0197213351653776,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.48,5.174799948,12.446,483.87,28,1.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.0948,2.0,483.87,2_483.87,16.0,0.0824628804234249,0.012337119576575,
"[P4,4,4,1 ]+",[TFSI]-,zero,HOPG,3.8,3.951373459,5.0341,217.357,9,6.0,0,0.0,280.147,98.62953293,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,3.889782595,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.018,1.0,217.357,1_217.357,17.0,-0.0272423298888313,0.0452423298888313,
[DMEA]+,[F]-,zero,mica,1.053533191,2.824148313,-0.8492,74.147,1,10.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.610915493,7.0,74.147,7_74.147,18.0,1.6656201791377694,0.0547046861377693,
[BMIm]+,[TFSI]-,PIL,Au(111),3.108695652,3.310978931,1.1127,139.222,3,6.0,0,1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,95.0,1,384.7328028,5.284512596,0.184,3.0,139.222,3_139.222,20.0,0.4054893389228768,0.2214893389228768,
[PA]+,[N]-,zero,mica,0.542797495,2.642365161,-0.3617,60.12,1,20.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,1.113924051,6.0,60.12,6_60.12,22.0,1.0131882862630988,0.1007357647369011,
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,40.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.128900651,3.0,46.093,3_46.093,23.0,0.1325145243307224,0.0036138733307224,
[PA]+,[F]-,zero,mica,1.875,2.642365161,-0.3617,60.12,1,30.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,4.225352113,7.0,60.12,7_60.12,24.0,3.9743186499065897,0.2510334630934099,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,339,100.0,0,26.26466251,2.803039488,0.396,4.0,46.093,4_46.093,25.0,0.4613144376439291,0.065314437643929,
[BMIm]+,[BF4]-,zero,HOPG,6.4,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,100.0,1,19.11941548,3.023715784,0.0017,0.0,139.222,0_139.222,26.0,0.0017000000225354,2.2535452887453844e-11,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.81,5.174799948,12.446,483.87,28,1.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1296,3.0,483.87,3_483.87,27.0,0.0987104916323262,0.0308895083676737,
[EtA]+,[N]-,zero,mica,2.837894737,2.543129445,-1.7794,62.092,1,10.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,2.007042254,7.0,62.092,7_62.092,28.0,2.168163448733619,0.161121194733619,
[EA]+,[F]-,zero,mica,0.537074148,2.431285504,-0.7518,46.093,0,10.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.083544304,6.0,46.093,6_46.093,29.0,1.0561785130484886,0.0273657909515112,
[BMIm]+,[PF6]-,zero,mica,2.3,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.1,2.0,139.222,2_139.222,30.0,0.0835079330654081,0.0164920669345918,
"[P6,6,6,14]+",[TFSI]-,zero,stainless steel,0.0,5.174799948,12.446,483.87,28,6.0,1,0.0,280.147,319.1282666,3.359227186,0,0.07,0.01,82.38,0.89,0.0,4.337445108,1.0593,72.0,0,298,0.0,0,384.7328028,5.284512596,0.88,6.0,483.87,6_483.87,31.0,0.4897329776242854,0.3902670223757145,
[BMIm]+,[BF4]-,zero,mica,11.9,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,1.3,0.0,0,298,100.0,1,19.11941548,3.023715784,0.029,1.0,139.222,1_139.222,32.0,0.0219999998807878,0.0070000001192121,
[BMIm]+,[TFSI]-,zero,Au(111),2.673099078,3.310978931,1.1127,139.222,3,6.0,0,1.0,280.147,190.8925906,3.359227186,0,0.7,-0.02,82.38,1.0,8.81,2.422977778,1.0593,60.0,0,298,100.0,1,384.7328028,5.284512596,0.213,4.0,139.222,4_139.222,33.0,0.2754778673074978,0.0624778673074978,
[EtA]+,[N]-,zero,mica,0.437894737,2.543129445,-1.7794,62.092,1,30.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,0.77721519,5.0,62.092,5_62.092,34.0,0.7649832075233578,0.0122319824766421,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.381,4.0,46.093,4_46.093,35.0,0.3082865309651842,0.0727134690348157,
[PA]+,[N]-,zero,mica,0.542797495,2.642365161,-0.3617,60.12,1,5.0,0,0.0,62.004,5.245112498,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.974744871,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.936708861,6.0,60.12,6_60.12,36.0,0.9252201069761112,0.0114887540238888,
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,0.5,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.020033278,1.0,46.093,1_46.093,37.0,0.0246909261007357,0.0046576481007357,
[EA]+,[F]-,zero,mica,1.667334669,2.431285504,-0.7518,46.093,0,20.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.575704225,7.0,46.093,7_46.093,38.0,1.541311000915814,0.0343932240841859,
[BMIm]+,[AOT]-,H2O,stainless steel,6.2,3.310978931,1.1127,139.222,3,6.0,1,1.0,421.576,190.8925906,4.637037402,0,0.07,0.01,109.8,0.8,8.81,2.422977778,3.8095,72.0,1,298,16.5,1,544.7574562,4.726289834,0.003,0.0,139.222,0_139.222,39.0,0.0505762642836571,0.0475762642836571,
[HOC3MPip]+,[TFSI]-,zero,mica,0.763,3.47886167,0.9993,158.265,3,6.0,0,0.0,280.147,108.1303606,3.359227186,1,1.77,-0.16,82.38,0.0569,20.23,2.25045382,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.21,,,,,,,
[HOC4Py] +,[OMs]-,zero,mica,0.687,3.360073211,0.7466,152.217,4,6.0,0,0.0,95.099,186.0140383,2.563925277,0,1.77,-0.16,57.2,0.0569,24.11,2.275801287,-0.8386,0.0,0,293,100.0,1,90.06147084,4.062942299,0.24,,,,,,,
[HOC3Py] +,[OMs]-,zero,mica,0.564,3.236493461,0.3565,138.19,3,6.0,0,0.0,95.099,173.8722824,2.563925277,0,1.77,-0.16,57.2,0.0569,24.11,2.426522347,-0.8386,0.0,0,293,100.0,1,90.06147084,4.062942299,0.26,,,,,,,
[HMIM]+,[FAP]-,zero,stainless steel,4.093645485,3.540263249,1.8929,167.276,5,6.0,1,0.0,445.004,215.3680851,3.775688868,0,0.07,0.01,0.0,0.89,8.81,2.153242802,7.1942,72.0,0,298,100.0,1,468.4882895,7.871070033,1.16,,,,,,,
"[P4,4,4,1 ]+",[TFSI]-,zero,stainless steel,3.431438127,3.951373459,5.0341,217.357,9,6.0,1,0.0,280.147,98.62953293,3.359227186,0,0.07,0.01,82.38,0.89,0.0,3.889782595,1.0593,72.0,0,298,100.0,0,384.7328028,5.284512596,0.93,,,,,,,
"[Py1,4]+",[FAP]-,zero,Au(111),4.014337,3.423597497,2.0269,142.266,3,6.0,0,-0.16,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60.0,0,298,100.0,0,468.4882895,7.871070033,0.28,,,,,,,
