Cation,anion,compound,surface,Potential,TPSA_cat,Bertz_cat,N_HD_cat,γ_s,Rq,r_cat,N_HA_cat,N_rot_cat,σ_s,x_IL,I_H2O,I_ss,TPSA_an,BalJ_cat,θ_s,MW_an,MW_cat,r_an,T,N_qN_cat,Bertz_an,velocity,logP_cat,logP_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),-0.5,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,5.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.108,2.0,483.87,2_483.87,77.0,0.1080000033963771,3.3963771101097606e-09,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,339,1,26.26466251,30.0,-0.7518,-0.2391,2.803039488,0.369,5.0,46.093,5_46.093,78.0,0.3689999873982352,1.2601764742825594e-08,
[HMIM]+,[FAP]-,zero,HOPG,-1.0,8.81,215.3680851,0,-0.0002,0.89,3.540263249,1,5,0.05,100.0,0,0,0.0,2.153242802,85.0,445.004,167.276,3.775688868,298,0,468.4882895,6.0,1.8929,7.1942,7.871070033,0.0206,1.0,167.276,1_167.276,79.0,0.0206000012537281,1.2537281282587463e-09,
[HMIM]+,[FAP]-,zero,Au(111),-0.5,8.81,215.3680851,0,-0.02,0.2,3.540263249,1,5,0.7,100.0,0,0,0.0,2.153242802,60.0,445.004,167.276,3.775688868,293,0,468.4882895,2.0,1.8929,7.1942,7.871070033,0.2,3.0,167.276,3_167.276,80.0,0.2000000041730236,4.1730236211012794e-09,
"[P4,4,4,1 ]+",[TFSI]-,zero,HOPG,0.0,0.0,98.62953293,0,-0.0002,0.89,3.951373459,0,9,0.05,100.0,0,0,82.38,3.889782595,85.0,280.147,217.357,3.359227186,298,0,384.7328028,6.0,5.0341,1.0593,5.284512596,0.018,0.0,217.357,0_217.357,81.0,0.0179999988710161,1.128983889014945e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),0.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,0.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.89,7.0,483.87,7_483.87,82.0,0.8899999855254803,1.4474519693941092e-08,
[HMIM]+,[TFSI]-,zero,silica,0.0,8.81,215.3680851,0,-0.07,0.2,3.540263249,1,5,0.2,100.0,0,0,82.38,2.153242802,20.7,280.147,167.276,3.359227186,298,0,384.7328028,1.0,1.8929,1.0593,5.284512596,0.036,1.0,167.276,1_167.276,83.0,0.0359999990653358,9.346642002028283e-10,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),-1.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,1.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.608,6.0,483.87,6_483.87,84.0,0.6079999812294357,1.8770564325087943e-08,
[PA]+,[N]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,60.12,2.192174955,298,1,26.26466251,30.0,-0.3617,-0.2391,2.803039488,1.113924051,7.0,60.12,7_60.12,85.0,1.113924029273631,2.1726368926167083e-08,
"[Py1,4]+",[FAP]-,zero,Au(111),-1.0,0.0,92.90138861,0,-0.02,1.0,3.423597497,0,3,0.7,100.0,0,0,0.0,2.21874475,60.0,445.004,142.266,3.775688868,298,1,468.4882895,6.0,2.0269,7.1942,7.871070033,0.2,3.0,142.266,3_142.266,86.0,0.2000000027692756,2.769275586622655e-09,
[PA]+,[F]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,40.13,1.974744871,0.0,45.017,60.12,2.091441062,298,1,10.26466251,40.0,-0.3617,-1.6339,2.187496097,1.1,7.0,60.12,7_60.12,87.0,1.100000024342218,2.4342217797013177e-08,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-1.0,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,6.0,12.446,2.0514,1.591434542,0.0725,2.0,483.87,2_483.87,88.0,0.0724999953869764,4.613023504851377e-09,
[Li(G4)]+,[N]-,zero,Au(111),1.0,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,66.2,0.0,60.0,62.004,229.222,2.192174955,298,0,26.26466251,6.0,-2.667,-0.2391,2.803039488,1.3,7.0,229.222,7_229.222,89.0,1.2999999531008513,4.689914878674985e-08,
[Li(G4)]+,[N]-,zero,Au(111),-1.0,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,66.2,0.0,60.0,62.004,229.222,2.192174955,298,0,26.26466251,6.0,-2.667,-0.2391,2.803039488,0.048,1.0,229.222,1_229.222,90.0,0.0480000013265669,1.326566953507857e-09,
"[P6,6,6,14]+",[BOB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.0143,0,0,105.2,4.337445108,60.0,186.848,483.87,3.117880277,298,0,274.5434145,20.0,12.446,-2.378,2.267123915,0.14,3.0,483.87,3_483.87,91.0,0.1399999996885423,3.114576374585454e-10,
"[P6,6,6,14]+",[BScB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.0143,0,0,71.06,4.337445108,60.0,283.024,483.87,3.79978343,298,0,706.0644789,20.0,12.446,1.9208,1.781315888,0.11,2.0,483.87,2_483.87,92.0,0.1050000003981984,0.0049999996018015,
"[P6,6,6,14]+",[(iC8)2PO2]-,zero,HOPG,-1.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,40.13,4.337445108,85.0,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.002,0.0,483.87,0_483.87,93.0,0.0019999998034697,1.9653023479448967e-10,
[BMIm]+,[AOT]-,H2O,Au(111),1.0,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,16.5,1,0,109.8,2.422977778,60.0,421.576,139.222,4.637037402,298,0,544.7574562,6.0,1.1127,3.8095,4.726289834,0.431,5.0,139.222,5_139.222,94.0,0.4309999936699502,6.3300497621376905e-09,
[BMIm]+,[FAP]-,zero,Au(111),0.5,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,445.004,139.222,3.775688868,293,0,468.4882895,2.0,1.1127,7.1942,7.871070033,0.3,4.0,139.222,4_139.222,95.0,0.3000000153621686,1.536216859276962e-08,
[EMIM] +,[FAP]-,zero,Au(111),0.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,2.0,0.3325,7.1942,7.871070033,0.23,4.0,111.168,4_111.168,96.0,0.2300000087464963,8.746496332756593e-09,
[HMIM]+,[TFSI]-,zero,silica,0.0,8.81,215.3680851,0,-0.07,0.2,3.540263249,1,5,0.2,100.0,0,0,82.38,2.153242802,20.7,280.147,167.276,3.359227186,298,0,384.7328028,5.0,1.8929,1.0593,5.284512596,0.058,1.0,167.276,1_167.276,97.0,0.0579999973759215,2.6240784614661727e-09,
"[P6,6,6,14]+",[AOT]-,zero,stainless steel,-0.76,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,100.0,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.37,5.0,483.87,5_483.87,98.0,0.3700000047767688,4.776768869341197e-09,
[DMEA]+,[F]-,zero,mica,0.0,4.44,17.60964047,1,-0.16,0.0569,2.824148313,0,1,1.77,100.0,0,0,40.13,2.539538861,0.0,45.017,74.147,2.091441062,298,1,10.26466251,20.0,-0.8492,-1.6339,2.187496097,0.569620253,6.0,74.147,6_74.147,99.0,0.5696202513772582,1.62274171877641e-09,
[HMIM]+,[FAP]-,zero,HOPG,1.5,8.81,215.3680851,0,-0.0002,0.89,3.540263249,1,5,0.05,100.0,0,0,0.0,2.153242802,85.0,445.004,167.276,3.775688868,298,0,468.4882895,6.0,1.8929,7.1942,7.871070033,0.001,0.0,167.276,0_167.276,100.0,0.0010000004029829,4.029829256749218e-10,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),0.25,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,1.0,12.446,2.0514,1.591434542,0.1338,3.0,483.87,3_483.87,101.0,0.1337999992419247,7.580752969804647e-10,
[C10(C1Im)2]2+,[TFSI]-,zero,mica,0.0,39.34,478.4344778,2,-0.16,0.0596,4.268585015,0,11,1.77,100.0,0,0,82.38,1.38550141,0.0,280.147,304.482,3.359227186,298,0,384.7328028,0.052,2.8978,1.0593,5.284512596,0.107,2.0,304.482,2_304.482,102.0,0.107000000426782,4.2678204026369565e-10,
[HMIM]+,[FAP]-,zero,Au(111),-1.0,8.81,215.3680851,0,-0.02,0.2,3.540263249,1,5,0.7,100.0,0,0,0.0,2.153242802,60.0,445.004,167.276,3.775688868,293,0,468.4882895,2.0,1.8929,7.1942,7.871070033,0.15,3.0,167.276,3_167.276,103.0,0.1500000052663639,5.266363983791322e-09,
"[P6,6,6,14]+",[DS]-,(CH2CO2Et)2,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,0.493,0,1,66.43,4.337445108,72.0,265.395,483.87,3.990255029,298,0,249.2312434,6.0,12.446,3.3841,3.038016531,0.74,6.0,483.87,6_483.87,104.0,0.7400000096719572,9.671957235113382e-09,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-0.12,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,6.0,12.446,2.0514,1.591434542,0.093,2.0,483.87,2_483.87,105.0,0.0930000066798094,6.679809400056412e-09,
[EMIM] +,[FAP]-,zero,Au(111),1.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,20.0,0.3325,7.1942,7.871070033,0.39,5.0,111.168,5_111.168,106.0,0.3899999849051803,1.5094819727501374e-08,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,0.0,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.98,7.0,483.87,7_483.87,107.0,0.9650000035540336,0.0149999964459663,
"[P6,6,6,14]+",[BEHP]-,zero,HOPG,0.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,58.59,4.337445108,85.0,321.418,483.87,4.32349866,298,0,259.4505415,6.0,12.446,4.9208,4.075382025,0.012,0.0,483.87,0_483.87,108.0,0.0120000005794782,5.79478253576182e-10,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,0.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,13.0,12.446,1.0593,5.284512596,0.03868,1.0,483.87,1_483.87,109.0,0.0386799981843294,1.815670565286087e-09,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,1.002,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.28,4.0,483.87,4_483.87,110.0,0.2800000029596911,2.95969104779914e-09,
"[P6,6,6,14]+",[BScB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.1,0,0,71.06,4.337445108,60.0,283.024,483.87,3.79978343,298,0,706.0644789,20.0,12.446,1.9208,1.781315888,0.058,1.0,483.87,1_483.87,111.0,0.0569999998398134,0.0010000001601865,
[Li(G4)]+,[TFSI]-,zero,HOPG,0.5,46.15,103.3825112,0,-0.0002,0.89,3.859895249,5,12,0.05,100.0,0,0,82.38,0.0,85.0,280.147,229.222,3.359227186,298,0,384.7328028,6.0,-2.667,1.0593,5.284512596,0.02,0.0,229.222,0_229.222,112.0,0.0199999989440378,1.0559621337058456e-09,
"[P4,4,4,1 ]+",[TFSI]-,zero,HOPG,-1.0,0.0,98.62953293,0,-0.0002,0.89,3.951373459,0,9,0.05,100.0,0,0,82.38,3.889782595,85.0,280.147,217.357,3.359227186,298,0,384.7328028,6.0,5.0341,1.0593,5.284512596,0.018,0.0,217.357,0_217.357,113.0,0.0179999995199807,4.800192292264691e-10,
[EA]+,[F]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,40.13,1.632993162,0.0,45.017,46.093,2.091441062,298,1,10.26466251,40.0,-0.7518,-1.6339,2.187496097,1.1,7.0,46.093,7_46.093,114.0,1.1000000241584091,2.415840905101163e-08,
[EA]+,[N]-,zero,polytetrafluoroethylene PTFE,0.0,27.64,2.754887502,1,-5e-05,7.0,2.431285504,0,0,0.019,0.0,0,0,66.2,1.632993162,110.0,62.004,46.093,2.192174955,298,1,26.26466251,20.0,-0.7518,-0.2391,2.803039488,0.200806452,3.0,46.093,3_46.093,115.0,0.200806453902945,1.9029449960239475e-09,
[EA]+,[F]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,40.13,1.632993162,0.0,45.017,46.093,2.091441062,298,1,10.26466251,20.0,-0.7518,-1.6339,2.187496097,1.040506329,7.0,46.093,7_46.093,116.0,1.0405063619955597,3.299555961788769e-08,
"[P6,6,6,14]+",[TFSI]-,zero,HOPG,-1.0,0.0,319.1282666,0,-0.0002,0.89,5.174799948,0,28,0.05,100.0,0,0,82.38,4.337445108,85.0,280.147,483.87,3.359227186,298,0,384.7328028,6.0,12.446,1.0593,5.284512596,0.006,0.0,483.87,0_483.87,117.0,0.0060000002087878,2.087878810813626e-10,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,30.0,-0.7518,-0.2391,2.803039488,0.304,4.0,46.093,4_46.093,118.0,0.2093909379706216,0.0946090620293783,high error
[EMIM] +,[FAP]-,zero,Au(111),-2.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,20.0,0.3325,7.1942,7.871070033,0.15,3.0,111.168,3_111.168,119.0,0.1500000050047652,5.0047652411233665e-09,
[HMIM]+,[FAP]-,zero,HOPG,1.0,8.81,215.3680851,0,-0.0002,0.89,3.540263249,1,5,0.05,100.0,0,0,0.0,2.153242802,85.0,445.004,167.276,3.775688868,298,0,468.4882895,6.0,1.8929,7.1942,7.871070033,0.012,0.0,167.276,0_167.276,120.0,0.0119999996439762,3.560237556154976e-10,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,369,1,26.26466251,10.0,-0.7518,-0.2391,2.803039488,0.258,4.0,46.093,4_46.093,121.0,0.2579999872197325,1.27802674554367e-08,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,-4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,1.0,12.446,3.8095,4.726289834,0.01295,0.0,483.87,0_483.87,122.0,0.0129500006449396,6.449396745822342e-10,
[EtA]+,[N]-,zero,mica,0.0,47.87,8.0,2,-0.16,0.0569,2.543129445,1,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,62.092,2.192174955,298,1,26.26466251,5.0,-1.7794,-0.2391,2.803039488,0.643037975,6.0,62.092,6_62.092,123.0,0.6430379741299839,8.700161702179796e-10,
[EMIM] +,[FAP]-,zero,Au(111),1.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,2.0,0.3325,7.1942,7.871070033,0.38,5.0,111.168,5_111.168,124.0,0.3799999962997882,3.7002118036255638e-09,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,0.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,1.0,12.446,3.8095,4.726289834,0.03526,1.0,483.87,1_483.87,125.0,0.0352599986821694,1.3178305530159307e-09,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,0.391,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.36,5.0,483.87,5_483.87,126.0,0.3600000147137425,1.471374250217039e-08,
[BMIm]+,[I]-,zero,Au(111),0.5,8.81,190.8925906,0,-0.02,0.2,3.310978931,1,3,0.7,100.0,0,0,0.0,2.422977778,60.0,126.904,139.222,2.113761051,293,0,0.0,2.0,1.1127,-2.996,0.0,0.12,2.0,139.222,2_139.222,127.0,0.1199999971081843,2.8918156758095392e-09,
[Li(G4)]+,[N]-,zero,Au(111),0.5,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,66.2,0.0,60.0,62.004,229.222,2.192174955,298,0,26.26466251,6.0,-2.667,-0.2391,2.803039488,1.0,7.0,229.222,7_229.222,128.0,0.9999999986872306,1.312769448702511e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),-0.15,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,5.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.424,5.0,483.87,5_483.87,129.0,0.4239999916149475,8.385052485682111e-09,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,silica,0.0,0.0,319.1282666,0,-0.07,0.5,5.174799948,0,28,0.2,0.01,0,0,40.13,4.337445108,20.7,289.42,483.87,4.246635376,298,0,281.6910727,6.0,12.446,4.7694,4.359263597,0.4,5.0,483.87,5_483.87,130.0,0.4000000057003499,5.7003499143171155e-09,
[EMIM] +,[FAP]-,zero,Au(111),0.5,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,6.0,0.3325,7.1942,7.871070033,0.3,4.0,111.168,4_111.168,131.0,0.3000000075191942,7.519194211713653e-09,
[EtA]+,[N]-,zero,mica,0.0,47.87,8.0,2,-0.16,0.0569,2.543129445,1,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,62.092,2.192174955,298,1,26.26466251,10.0,-1.7794,-0.2391,2.803039488,0.678481013,6.0,62.092,6_62.092,132.0,0.678481042327896,2.9327896000630463e-08,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,369,1,26.26466251,20.0,-0.7518,-0.2391,2.803039488,0.309,4.0,46.093,4_46.093,133.0,0.3089999846408985,1.535910149064179e-08,
[EMIM] +,[FAP]-,zero,Au(111),-1.0,8.81,166.7913934,0,-0.02,0.2,3.045073482,1,1,0.7,100.0,0,0,0.0,2.837541431,60.0,445.004,111.168,3.775688868,293,0,468.4882895,12.0,0.3325,7.1942,7.871070033,0.19,3.0,111.168,3_111.168,134.0,0.189999994125124,5.874875946831892e-09,
"[P6,6,6,14]+",[DCA]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.0143,0,0,61.68,4.337445108,60.0,66.043,483.87,2.409661825,298,0,70.04663564,20.0,12.446,0.32226,2.857271683,0.1,2.0,483.87,2_483.87,135.0,0.1000000015763811,1.57638110898084e-09,
[PA]+,[N]-,zero,mica,0.0,27.64,5.245112498,1,-0.16,0.0569,2.642365161,0,1,1.77,100.0,0,0,66.2,1.974744871,0.0,62.004,60.12,2.192174955,298,1,26.26466251,20.0,-0.3617,-0.2391,2.803039488,1.113924051,7.0,60.12,7_60.12,136.0,1.113924022362555,2.86374448599247e-08,
"[P6,6,6,14]+",[BMB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.0143,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,20.0,12.446,2.0514,1.591434542,0.12,2.0,483.87,2_483.87,137.0,0.1199999978772413,2.122758691047721e-09,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,30.0,-0.7518,-0.2391,2.803039488,0.114781888,2.0,46.093,2_46.093,138.0,0.2093909379706216,0.0946090499706216,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,0.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,1.0,12.446,1.0593,5.284512596,0.03526,1.0,483.87,1_483.87,139.0,0.0352599999857577,1.4242204637859857e-11,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-1.0,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,1.0,12.446,2.0514,1.591434542,0.0618,2.0,483.87,2_483.87,140.0,0.0618000005547622,5.547622569657127e-10,
[DMEA]+,[F]-,zero,mica,0.0,4.44,17.60964047,1,-0.16,0.0569,2.824148313,0,1,1.77,100.0,0,0,40.13,2.539538861,0.0,45.017,74.147,2.091441062,298,1,10.26466251,40.0,-0.8492,-1.6339,2.187496097,0.6,6.0,74.147,6_74.147,141.0,0.6000000233460276,2.3346027666626412e-08,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,339,1,26.26466251,20.0,-0.7518,-0.2391,2.803039488,0.32,5.0,46.093,5_46.093,142.0,0.3199999928834457,7.116554290309551e-09,
[EA]+,[N]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,66.2,1.632993162,0.0,62.004,46.093,2.192174955,298,1,26.26466251,5.0,-0.7518,-0.2391,2.803039488,0.04905363,1.0,46.093,1_46.093,143.0,0.0490536345101315,4.510131504376069e-09,
[Li(G4)]+,[N]-,zero,Au(111),0.0,46.15,103.3825112,0,-0.02,1.0,3.859895249,5,12,0.7,100.0,0,0,66.2,0.0,60.0,62.004,229.222,2.192174955,298,0,26.26466251,6.0,-2.667,-0.2391,2.803039488,0.24,4.0,229.222,4_229.222,144.0,0.2399999965208819,3.4791180492099723e-09,
"[P6,6,6,14]+",[BScB]-,DEGDBE,titanium,0.0,0.0,319.1282666,0,0.005,61.15,5.174799948,0,28,0.5,0.0,0,0,71.06,4.337445108,60.0,283.024,483.87,3.79978343,298,0,706.0644789,20.0,12.446,1.9208,1.781315888,0.14,3.0,483.87,3_483.87,145.0,0.1400000006986219,6.986219380777923e-10,
"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,0.0,0.0,319.1282666,0,0.01,0.9,5.174799948,0,28,0.07,1.299,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,6.0,12.446,3.8095,4.726289834,0.54,6.0,483.87,6_483.87,146.0,0.5400000200502857,2.0050285653994138e-08,
[HMIM]+,[FAP]-,zero,HOPG,0.0,8.81,215.3680851,0,-0.0002,0.89,3.540263249,1,5,0.05,0.0,0,0,0.0,2.153242802,85.0,445.004,167.276,3.775688868,298,0,468.4882895,6.0,1.8929,7.1942,7.871070033,0.013,0.0,167.276,0_167.276,147.0,0.0130000001850673,1.8506736247647648e-10,
"[P6,6,6,14]+",[AOT]-,[P66614][BTA],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,17.4,0,1,109.8,4.337445108,72.0,421.576,483.87,4.637037402,298,0,544.7574562,1.0,12.446,3.8095,4.726289834,0.0248,1.0,483.87,1_483.87,148.0,0.0248000012038867,1.203886757644712e-09,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-0.12,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,3.1,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,6.0,12.446,2.0514,1.591434542,0.1229,3.0,483.87,3_483.87,149.0,0.1228999972944479,2.705552101800457e-09,
[EA]+,[F]-,zero,mica,0.0,27.64,2.754887502,1,-0.16,0.0569,2.431285504,0,0,1.77,100.0,0,0,40.13,1.632993162,0.0,45.017,46.093,2.091441062,298,1,10.26466251,30.0,-0.7518,-1.6339,2.187496097,1.149367089,7.0,46.093,7_46.093,150.0,1.1493670940733585,5.073358400053962e-09,
"[P6,6,6,14]+",[TFSI]-,[P66614][Doc],stainless steel,4.0,0.0,319.1282666,0,0.01,320.0,5.174799948,0,28,0.07,82.6,0,1,82.38,4.337445108,72.0,280.147,483.87,3.359227186,298,0,384.7328028,130.0,12.446,1.0593,5.284512596,0.0339,1.0,483.87,1_483.87,151.0,0.0338999997448188,2.5518116786305e-10,
[BMIm]+,[BF4]-,zero,silica,0.0,8.81,190.8925906,0,-0.07,0.5,3.310978931,1,3,0.2,100.0,0,0,0.0,2.422977778,20.7,86.804,139.222,2.328453731,298,0,19.11941548,10.0,1.1127,1.3,3.023715784,1.57,7.0,139.222,7_139.222,152.0,1.5700000524849709,5.248497059184842e-08,
"[P6,6,6,14]+",[(iC8)2PO2]-,hexadecane,Au(111),0.0,0.0,319.1282666,0,-0.02,1.0,5.174799948,0,28,0.7,5.0,0,0,40.13,4.337445108,60.0,289.42,483.87,4.246635376,298,0,281.6910727,6.5,12.446,4.7694,4.359263597,0.46,5.0,483.87,5_483.87,153.0,0.460000010556292,1.0556292007191104e-08,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),-1.0,0.0,319.1282666,0,-0.02,0.835,5.174799948,0,28,0.7,0.67,0,0,71.06,4.337445108,60.0,311.078,483.87,3.97427778,298,0,682.1804819,12.0,12.446,2.0514,1.591434542,0.0736,2.0,483.87,2_483.87,154.0,0.0736000027600129,2.760012940417056e-09,
